

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.046  000.046: --- VIM STARTING ---
000.210  000.164: Allocated generic buffers
000.832  000.622: locale set
000.841  000.009: clipboard setup
000.852  000.011: window checked
001.824  000.972: inits 1
002.542  000.718: parsing arguments
002.557  000.015: expanding arguments
014.656  012.099: shell init
016.418  001.762: Termcap init
016.482  000.064: inits 2
017.362  000.880: init highlight
022.071  000.191  000.191: sourcing /Users/nissassin17/.vimrc.before.local
022.122  000.852  000.661: sourcing /Users/nissassin17/.vimrc.before
023.782  000.072  000.072: sourcing /usr/local/share/vim/vim74/ftoff.vim
026.796  000.443  000.443: sourcing /Users/nissassin17/.vim/bundle/vundle/autoload/vundle.vim
028.123  000.695  000.695: sourcing /Users/nissassin17/.vim/bundle/vundle/autoload/vundle/config.vim
201.311  029.048  029.048: sourcing /Users/nissassin17/.vimrc.bundles.local
201.343  178.759  149.501: sourcing /Users/nissassin17/.vimrc.bundles
264.588  000.296  000.296: sourcing /Users/nissassin17/.vim/bundle/ultisnips/ftdetect/snippets.vim
265.347  000.335  000.335: sourcing /Users/nissassin17/.vim/bundle/ultisnips/ftdetect/UltiSnips.vim
267.287  000.410  000.410: sourcing /Users/nissassin17/.vim/bundle/vim-twig/ftdetect/twig.vim
268.547  000.436  000.436: sourcing /Users/nissassin17/.vim/bundle/vim-json/ftdetect/json.vim
269.456  000.220  000.220: sourcing /Users/nissassin17/.vim/bundle/vim-less/ftdetect/less.vim
270.691  000.580  000.580: sourcing /Users/nissassin17/.vim/bundle/vim-javascript/ftdetect/javascript.vim
271.929  000.561  000.561: sourcing /Users/nissassin17/.vim/bundle/vim-jst/ftdetect/jst.vim
274.196  001.001  001.001: sourcing /Users/nissassin17/.vim/bundle/vim-coffee-script/ftdetect/coffee.vim
276.319  000.756  000.756: sourcing /Users/nissassin17/.vim/bundle/vim-haml/ftdetect/haml.vim
277.901  000.242  000.242: sourcing /Users/nissassin17/.vim/bundle/rust.vim/ftdetect/rust.vim
279.433  000.508  000.508: sourcing /Users/nissassin17/.vim/bundle/vim-markdown/ftdetect/markdown.vim
280.659  000.181  000.181: sourcing /Users/nissassin17/.vim/bundle/vim-cucumber/ftdetect/cucumber.vim
281.369  000.190  000.190: sourcing /Users/nissassin17/.vim/bundle/vim-toml/ftdetect/toml.vim
282.482  000.201  000.201: sourcing /Users/nissassin17/.vim/bundle/salt-vim/ftdetect/sls.vim
283.546  000.102  000.102: sourcing /Users/nissassin17/.vim/bundle/ultisnips/ftdetect/snippets.vim
283.770  000.181  000.181: sourcing /Users/nissassin17/.vim/bundle/ultisnips/ftdetect/UltiSnips.vim
284.035  000.136  000.136: sourcing /Users/nissassin17/.vim/bundle/vim-twig/ftdetect/twig.vim
284.355  000.185  000.185: sourcing /Users/nissassin17/.vim/bundle/vim-json/ftdetect/json.vim
284.505  000.067  000.067: sourcing /Users/nissassin17/.vim/bundle/vim-less/ftdetect/less.vim
284.852  000.264  000.264: sourcing /Users/nissassin17/.vim/bundle/vim-javascript/ftdetect/javascript.vim
285.249  000.312  000.312: sourcing /Users/nissassin17/.vim/bundle/vim-jst/ftdetect/jst.vim
285.693  000.359  000.359: sourcing /Users/nissassin17/.vim/bundle/vim-coffee-script/ftdetect/coffee.vim
286.095  000.276  000.276: sourcing /Users/nissassin17/.vim/bundle/vim-haml/ftdetect/haml.vim
286.270  000.065  000.065: sourcing /Users/nissassin17/.vim/bundle/rust.vim/ftdetect/rust.vim
286.610  000.255  000.255: sourcing /Users/nissassin17/.vim/bundle/vim-markdown/ftdetect/markdown.vim
286.817  000.111  000.111: sourcing /Users/nissassin17/.vim/bundle/vim-cucumber/ftdetect/cucumber.vim
287.027  000.130  000.130: sourcing /Users/nissassin17/.vim/bundle/vim-toml/ftdetect/toml.vim
287.262  000.139  000.139: sourcing /Users/nissassin17/.vim/bundle/salt-vim/ftdetect/sls.vim
292.038  062.332  053.833: sourcing /usr/local/share/vim/vim74/filetype.vim
294.812  000.094  000.094: sourcing /usr/local/share/vim/vim74/ftplugin.vim
297.546  000.096  000.096: sourcing /usr/local/share/vim/vim74/indent.vim
305.068  000.312  000.312: sourcing /usr/local/share/vim/vim74/syntax/syncolor.vim
306.444  003.401  003.089: sourcing /usr/local/share/vim/vim74/syntax/synload.vim
306.499  006.944  003.543: sourcing /usr/local/share/vim/vim74/syntax/syntax.vim
369.801  000.382  000.382: sourcing /usr/local/share/vim/vim74/syntax/syncolor.vim
371.982  000.211  000.211: sourcing /usr/local/share/vim/vim74/syntax/syncolor.vim
375.964  010.253  009.660: sourcing /Users/nissassin17/.vim/bundle/vim-colors-solarized/colors/solarized.vim
397.483  000.042  000.042: sourcing /usr/local/share/vim/vim74/filetype.vim
399.754  000.017  000.017: sourcing /usr/local/share/vim/vim74/ftplugin.vim
402.045  000.023  000.023: sourcing /usr/local/share/vim/vim74/indent.vim
404.990  000.889  000.889: sourcing /usr/local/Cellar/vim/7.4.1063/share/vim/vim74/syntax/nosyntax.vim
410.604  000.367  000.367: sourcing /usr/local/share/vim/vim74/syntax/syncolor.vim
413.754  000.333  000.333: sourcing /usr/local/share/vim/vim74/syntax/syncolor.vim
418.332  011.248  010.548: sourcing /Users/nissassin17/.vim/bundle/vim-colors-solarized/colors/solarized.vim
420.201  013.336  002.088: sourcing /usr/local/share/vim/vim74/syntax/synload.vim
420.274  017.170  002.945: sourcing /usr/local/share/vim/vim74/syntax/syntax.vim
424.112  000.473  000.473: sourcing /usr/local/share/vim/vim74/syntax/syncolor.vim
427.758  000.408  000.408: sourcing /usr/local/share/vim/vim74/syntax/syncolor.vim
432.325  011.851  010.970: sourcing /Users/nissassin17/.vim/bundle/vim-colors-solarized/colors/solarized.vim
439.325  000.286  000.286: sourcing /usr/local/share/vim/vim74/syntax/syncolor.vim
441.743  000.254  000.254: sourcing /usr/local/share/vim/vim74/syntax/syncolor.vim
451.426  014.071  013.531: sourcing /Users/nissassin17/.vim/bundle/base16-vim/colors/base16-solarized.vim
451.752  058.839  015.665: sourcing /Users/nissassin17/.vimrc.local
451.782  432.879  114.710: sourcing $HOME/.vimrc
451.794  001.553: sourcing vimrc file(s)
453.284  000.215  000.215: sourcing /Users/nissassin17/.vim/bundle/tlib_vim/plugin/02tlib.vim
454.110  000.261  000.261: sourcing /Users/nissassin17/.vim/bundle/ack.vim/plugin/ack.vim
458.318  000.699  000.699: sourcing /Users/nissassin17/.vim/bundle/nerdtree/autoload/nerdtree.vim
461.280  001.241  001.241: sourcing /Users/nissassin17/.vim/bundle/nerdtree/lib/nerdtree/path.vim
462.379  000.625  000.625: sourcing /Users/nissassin17/.vim/bundle/nerdtree/lib/nerdtree/menu_controller.vim
462.941  000.165  000.165: sourcing /Users/nissassin17/.vim/bundle/nerdtree/lib/nerdtree/menu_item.vim
